销售渠道,渠道明细,阵地
地市销售,网厅,地市网厅
省销售,网厅,省网厅
省销售,索答,装维毛细
省销售,宽带客服导购,外呼导购
省销售,深圳傲天,省分销
省销售,宽带外呼-成本,外呼导购
省销售,网厅（宽带数据挖掘）,外呼导购
省销售,主动营销-广信（电话营销）,外呼导购
省销售,恒信,省分销
省销售,迈瑞,省分销
省销售,深圳杰之龙,省分销
省销售,易信,省分销
省销售,主动营销-立诚,外呼导购
省销售,万达世纪广告,装维毛细
省销售,数通电信,省分销
省销售,南京一匡,省分销
省销售,领致,省分销
省销售,乾盟,省分销
省销售,通众,省分销
省销售,宽带外呼-分销,外呼导购
省销售,宽带外呼-广信（数据挖掘）,外呼导购
集团销售,集团销售,集团
省销售,淘宝旗舰店,省分销
省销售,手机商城,省分销
地市销售,,地市分销
地市销售,未细分,地市分销
省销售,易尊,省分销
省销售,主动营销-方略,外呼导购
省销售,北京奇虎,省分销
省销售,小蜜蜂,省分销
省销售,骏伯,省分销
集团销售,集团重庆奔翔,集团
省销售,主动营销-自营电话营销,外呼导购
省销售,日信,省分销
地市销售,自营电话营销,外呼导购
省销售,铂豪万钧,省分销
省销售,宽腾,省分销
省销售,御讯,省分销
省销售,腾讯,省分销
省销售,一九易,省分销
省销售,电渠虚拟,省分销
省销售,主动营销-方略（非数据挖掘）,外呼导购
省销售,中通,省分销
地市销售,掌厅,地市分销
省销售,号百,省分销
省销售,雅润,省分销
省销售,中数通,省分销
集团销售,集团销售（省）,集团
地市销售,手机商城,地市分销
省销售,华工信元,省分销
地市销售,地市网厅,地市网厅
省销售,大众,省分销
地市销售,中数通,地市分销
地市销售,公寓宽带,公寓宽带
地市销售,未知,地市分销
省销售,未知,省分销
省销售,自助终端,省分销
省销售,主动营销-广信（商城电话营销）,外呼导购
未知,未知,地市分销
地市销售,互联网代销,地市分销
地市销售,地市其他,地市分销
地市销售,网上卖场,地市分销
地市销售,互联网分销商,地市分销
地市销售,互联网代销-易尊,地市分销
集团销售,集团WEB门户,集团
地市销售,互联网代销-网上卖场-易尊,地市分销
地市销售,地市京东,地市分销
